id,sample,comment,type,sT,sP,expdataset,weight,phase.Gibbsite-H.DC.Gibbsite-H.UMC,comp.AlO(OH),unit,comp.H2O,unit,comp.NaCl,unit,comp.HCl,unit,comp.NaOH,unit,phase.aq_gen.pH,phase.aq_gen.IC.Al.Q,unit
88,Ben_088,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.709,2.60615E-06,molal
89,Ben_089,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.709,2.38232E-06,molal
90,Ben_090,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.709,2.39332E-06,molal
91,Ben_091,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.71,2.66686E-06,molal
92,Ben_092,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.71,2.54097E-06,molal
93,Ben_093,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0879062,,,,2.719,2.36592E-06,molal
94,Ben_094,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0879062,,,,2.72,2.2751E-06,molal
95,Ben_095,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0879062,,,,2.726,2.44906E-06,molal
96,Ben_096,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0708834,,,,2.823,2.61818E-06,molal
97,Ben_097,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0708834,,,,2.824,2.51768E-06,molal
98,Ben_098,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0563691,,,,2.913,8.33681E-07,molal
99,Ben_099,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0433337,,,,3.022,6.42688E-07,molal
100,Ben_100,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0433337,,,,3.029,4.44631E-07,molal
101,Ben_101,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0433337,,,,3.03,5.48277E-07,molal
102,Ben_102,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0328061,,,,3.147,2.89734E-07,molal
103,Ben_103,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0228733,,,,3.294,2.55859E-07,molal
104,Ben_104,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0207746,,,,3.34,4.16869E-07,molal
105,Ben_105,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0207746,,,,3.341,3.0903E-07,molal
106,Ben_106,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0138948,,,,3.521,2.69774E-07,molal
107,Ben_107,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0127254,,,,3.558,2.71019E-07,molal
