id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
104,Ar104,Archer_syn,75,700,0.00001,molal,1000,g,0.5,molal,1.02189,g/cm3,
105,Ar105,Archer_syn,75,800,0.00001,molal,1000,g,0.5,molal,1.02556,g/cm3,
106,Ar106,Archer_syn,75,900,0.00001,molal,1000,g,0.5,molal,1.02916,g/cm3,
107,Ar107,Archer_syn,75,1000,0.00001,molal,1000,g,0.5,molal,1.03269,g/cm3,
108,Ar108,Archer_syn,100,50,0.00001,molal,1000,g,0.5,molal,0.979862,g/cm3,
109,Ar109,Archer_syn,100,100,0.00001,molal,1000,g,0.5,molal,0.982092,g/cm3,
110,Ar110,Archer_syn,100,200,0.00001,molal,1000,g,0.5,molal,0.986461,g/cm3,
111,Ar111,Archer_syn,100,300,0.00001,molal,1000,g,0.5,molal,0.990717,g/cm3,
112,Ar112,Archer_syn,100,400,0.00001,molal,1000,g,0.5,molal,0.994866,g/cm3,
113,Ar113,Archer_syn,100,500,0.00001,molal,1000,g,0.5,molal,0.998917,g/cm3,
114,Ar114,Archer_syn,100,600,0.00001,molal,1000,g,0.5,molal,1.00287,g/cm3,
115,Ar115,Archer_syn,100,700,0.00001,molal,1000,g,0.5,molal,1.00674,g/cm3,
116,Ar116,Archer_syn,100,800,0.00001,molal,1000,g,0.5,molal,1.01053,g/cm3,
117,Ar117,Archer_syn,100,900,0.00001,molal,1000,g,0.5,molal,1.01424,g/cm3,
118,Ar118,Archer_syn,100,1000,0.00001,molal,1000,g,0.5,molal,1.01787,g/cm3,
119,Ar119,Archer_syn,125,50,0.00001,molal,1000,g,0.5,molal,0.961101,g/cm3,
120,Ar120,Archer_syn,125,100,0.00001,molal,1000,g,0.5,molal,0.963503,g/cm3,
121,Ar121,Archer_syn,125,200,0.00001,molal,1000,g,0.5,molal,0.968195,g/cm3,
122,Ar122,Archer_syn,125,300,0.00001,molal,1000,g,0.5,molal,0.972745,g/cm3,
123,Ar123,Archer_syn,125,400,0.00001,molal,1000,g,0.5,molal,0.977166,g/cm3,
124,Ar124,Archer_syn,125,500,0.00001,molal,1000,g,0.5,molal,0.981466,g/cm3,
125,Ar125,Archer_syn,125,600,0.00001,molal,1000,g,0.5,molal,0.985654,g/cm3,
126,Ar126,Archer_syn,125,700,0.00001,molal,1000,g,0.5,molal,0.989736,g/cm3,
127,Ar127,Archer_syn,125,800,0.00001,molal,1000,g,0.5,molal,0.99372,g/cm3,
128,Ar128,Archer_syn,125,900,0.00001,molal,1000,g,0.5,molal,0.99761,g/cm3,
129,Ar129,Archer_syn,125,1000,0.00001,molal,1000,g,0.5,molal,1.00141,g/cm3,
130,Ar130,Archer_syn,150,50,0.00001,molal,1000,g,0.5,molal,0.939922,g/cm3,
131,Ar131,Archer_syn,150,100,0.00001,molal,1000,g,0.5,molal,0.942569,g/cm3,
132,Ar132,Archer_syn,150,200,0.00001,molal,1000,g,0.5,molal,0.947715,g/cm3,
133,Ar133,Archer_syn,150,300,0.00001,molal,1000,g,0.5,molal,0.95268,g/cm3,
134,Ar134,Archer_syn,150,400,0.00001,molal,1000,g,0.5,molal,0.95748,g/cm3,
135,Ar135,Archer_syn,150,500,0.00001,molal,1000,g,0.5,molal,0.962128,g/cm3,
136,Ar136,Archer_syn,150,600,0.00001,molal,1000,g,0.5,molal,0.966636,g/cm3,
137,Ar137,Archer_syn,150,700,0.00001,molal,1000,g,0.5,molal,0.971014,g/cm3,
138,Ar138,Archer_syn,150,800,0.00001,molal,1000,g,0.5,molal,0.975271,g/cm3,
